SEQPLT18,YEAR,PSTATABB,PNAME,ORISPL,OPRNAME,OPRCODE,UTLSRVNM,UTLSRVID,SECTOR,BANAME,BACODE,NERC,SUBRGN,SRNAME,ISORTO,FIPSST,FIPSCNTY,CNTYNAME,LAT,LON
1,2018,AK,7-Mile Ridge Wind Project,60814,Alaska Power and Telephone Co,219,Alaska Power and Telephone Co,219,Electric Utility,Alaska Miscellaneous,NA,NA,AKMS,ASCC Miscellaneous,,02,240,Southeast Fairbanks,63.210689,-143.247156
2,2018,AK,Agrium Kenai Nitrogen Operations,54452,Homer Electric Assn Inc,19558,Agrium US Inc,179,Industrial CHP,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,122,Kenai Peninsula,60.6732,-151.3784
3,2018,AK,Alakanuk,57053,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,270,Wade Hampton,62.6833,-164.6544
4,2018,AK,Allison Creek Hydro,58982,"Copper Valley Elec Assn, Inc",4329,"Copper Valley Elec Assn, Inc",4329,Electric Utility,Alaska Miscellaneous,NA,NA,AKMS,ASCC Miscellaneous,,02,261,Valdez Cordova,61.084444,-146.353333
5,2018,AK,Ambler,60243,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,NA,AKMS,ASCC Miscellaneous,,02,188,Northwest Arctic,67.08798,-157.856719
6,2018,AK,Anchorage 1,75,Anchorage Municipal Light and Power,599,Anchorage Municipal Light and Power,599,Electric Utility,Anchorage Municipal Light & Power,AMPL,ASCC,AKGD,ASCC Alaska Grid,,02,020,Anchorage,61.2221,-149.8661
7,2018,AK,Angoon,7462,"Inside Passage Elec Coop, Inc",18963,"Inside Passage Elec Coop, Inc",18963,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,105,Hoonah-Angoon,57.499166,-134.58614
8,2018,AK,Aniak,7182,Aniak Light & Power Co Inc,4959,Aniak Light & Power Co Inc,4959,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,050,Bethel,61.580678,-159.535643
9,2018,AK,Annex Creek,62,Alaska Electric Light&Power Co,213,Alaska Electric Light&Power Co,213,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,110,Juneau,58.3176,-134.101
10,2018,AK,Auke Bay,7250,Alaska Electric Light&Power Co,213,Alaska Electric Light&Power Co,213,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,110,Juneau,58.3875,-134.6446
11,2018,AK,Aurora Energy LLC Chena,79,Golden Valley Elec Assn Inc,7353,Aurora Energy LLC,986,IPP CHP,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,090,Fairbanks North Star,64.847743,-147.735063
12,2018,AK,Barrow,7173,"Barrow Utils & Elec Coop, Inc",1276,"Barrow Utils & Elec Coop, Inc",1276,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,185,North Slope,71.292,-156.7786
13,2018,AK,Battery Energy Storage System,57583,Golden Valley Elec Assn Inc,7353,Golden Valley Elec Assn Inc,7353,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,090,Fairbanks North Star,64.8167,-147.725
14,2018,AK,Beaver Falls,6580,Ketchikan Public Utilities,10210,Ketchikan Public Utilities,10210,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,130,Ketchikan Gateway,55.37975,-131.470269
15,2018,AK,Beluga,96,Chugach Electric Assn Inc,3522,Chugach Electric Assn Inc,3522,Electric Utility,Chugach Electric Assn Inc,CEA,ASCC,AKGD,ASCC Alaska Grid,,02,122,Kenai Peninsula,61.1861,-151.0356
16,2018,AK,Bernice Lake,6292,Alaska Electric & Energy Coop,49803,Homer Electric Assn Inc,19558,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,122,Kenai Peninsula,60.6935,-151.3874
17,2018,AK,Bethel,6566,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,050,Bethel,60.7897,-161.787778
18,2018,AK,Black Bear Lake,7752,Alaska Power and Telephone Co,219,Alaska Power and Telephone Co,219,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,198,Prince of Wales-Hyder,55.476472,-133.14772
19,2018,AK,Blue Lake Hydro,93,City & Borough of Sitka - (AK),17271,City & Borough of Sitka - (AK),17271,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,220,Sitka,57.0516,-135.2297
20,2018,AK,Bradley Lake,7367,Alaska Electric & Energy Coop,49803,Homer Electric Assn Inc,19558,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,122,Kenai Peninsula,59.77862,-150.94015
21,2018,AK,Brevig Mission,60260,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,NA,AKMS,ASCC Miscellaneous,,02,180,Nome,65.331716,-166.479506
22,2018,AK,Centennial,7112,Metlakatla Power & Light,12385,Metlakatla Power & Light,12385,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,198,Prince of Wales-Hyder,55.121433,-131.560267
23,2018,AK,Chester Lake,7168,Metlakatla Power & Light,12385,Metlakatla Power & Light,12385,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,198,Prince of Wales-Hyder,55.116879,-131.545879
24,2018,AK,Chevak,6311,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,050,Bethel,61.525297,-165.590152
25,2018,AK,Cooper Lake,6291,Chugach Electric Assn Inc,3522,Chugach Electric Assn Inc,3522,Electric Utility,Chugach Electric Assn Inc,CEA,ASCC,AKGD,ASCC Alaska Grid,,02,122,Kenai Peninsula,60.392331,-149.665603
26,2018,AK,Craig (AK),421,Alaska Power and Telephone Co,219,Alaska Power and Telephone Co,219,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,198,Prince of Wales-Hyder,55.47691,-133.14869
27,2018,AK,Delta Power,56325,Golden Valley Elec Assn Inc,7353,Golden Valley Elec Assn Inc,7353,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,240,Southeast Fairbanks,64.028056,-145.719444
28,2018,AK,Delta Wind Farm,58511,Golden Valley Elec Assn Inc,7353,Alaska Environmental Power,58488,IPP Non-CHP,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,240,Southeast Fairbanks,64.013889,-145.596667
29,2018,AK,Dillingham,109,"Nushagak Electric Coop, Inc",13870,"Nushagak Electric Coop, Inc",13870,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,070,Dillingham,59.042914,-158.468597
30,2018,AK,Dutch Harbor,7502,City of Unalaska - (AK),19454,City of Unalaska - (AK),19454,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,016,Aleutians West,53.892459,-166.538185
31,2018,AK,Eielson AFB Central Heat & Power Plant,50392,Golden Valley Elec Assn Inc,7353,U S Air Force-Eielson AFB,22199,Commercial CHP,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,090,Fairbanks North Star,64.67141,-147.075988
32,2018,AK,Eklutna Generation Station,58989,Matanuska Electric Assn Inc,11824,Matanuska Electric Assn Inc,11824,Electric Utility,Alaska Miscellaneous,NA,NA,AKGD,ASCC Alaska Grid,,02,020,Anchorage,61.457778,-149.351389
33,2018,AK,Eklutna Hydro Project,77,Chugach Electric Assn Inc,3522,Anchorage Municipal Light and Power,599,Electric Utility,Anchorage Municipal Light & Power,AMPL,ASCC,AKGD,ASCC Alaska Grid,,02,170,Matanuska Susitna,61.475211,-149.15009
34,2018,AK,Elim,57060,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,180,Nome,64.616558,-162.263717
35,2018,AK,Emmonak,6314,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,270,Wade Hampton,62.777694,-164.531517
36,2018,AK,ESS Battery Microgrid,58405,Kodiak Electric Assn Inc,10433,Kodiak Electric Assn Inc,10433,Electric Utility,Alaska Miscellaneous,NA,NA,AKMS,ASCC Miscellaneous,,02,150,Kodiak Island,57.799167,-152.404167
37,2018,AK,Eva Creek Wind,57935,Golden Valley Elec Assn Inc,7353,Golden Valley Elec Assn Inc,7353,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,068,Denali,64.058333,-148.9
38,2018,AK,Eyak Service Center BESS,62714,"Cordova Electric Coop, Inc",40215,"Cordova Electric Coop, Inc",40215,Electric Utility,Alaska Miscellaneous,NA,NA,AKMS,ASCC Miscellaneous,,02,261,Valdez Cordova,60.54047,-145.74079
39,2018,AK,Fairbanks,6286,Golden Valley Elec Assn Inc,7353,Golden Valley Elec Assn Inc,7353,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,090,Fairbanks North Star,64.854171,-147.719351
40,2018,AK,False Island,56146,Alaska Power and Telephone Co,219,Alaska Power and Telephone Co,219,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,198,Prince of Wales-Hyder,55.48918,-133.1345
41,2018,AK,Fire Island Wind,58425,Chugach Electric Assn Inc,3522,Fire Island Wind LLC,58422,IPP Non-CHP,Chugach Electric Assn Inc,CEA,NA,AKGD,ASCC Alaska Grid,,02,020,Anchorage,61.13,-150.243611
42,2018,AK,Flywheel Energy Storage System Microgrid,60563,Kodiak Electric Assn Inc,10433,Kodiak Electric Assn Inc,10433,Electric Utility,Alaska Miscellaneous,NA,NA,AKMS,ASCC Miscellaneous,,02,150,Kodiak Island,57.780114,-152.443783
43,2018,AK,Fort Greely Power Plant,54834,Golden Valley Elec Assn Inc,7353,Doyon Utilities - Fort Greely,19272,Commercial Non-CHP,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,240,Southeast Fairbanks,63.973572,-145.716581
44,2018,AK,Galena Electric Utility,7437,Galena Electric Utility,6915,Galena Electric Utility,6915,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,290,Yukon Koyukuk,64.74417,-156.8736
45,2018,AK,Gambell,57062,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,180,Nome,63.777058,-171.712439
46,2018,AK,George M Sullivan Generation Plant 2,6559,Anchorage Municipal Light and Power,599,Anchorage Municipal Light and Power,599,Electric Utility,Anchorage Municipal Light & Power,AMPL,ASCC,AKGD,ASCC Alaska Grid,,02,020,Anchorage,61.229713,-149.716744
47,2018,AK,Glennallen,6305,"Copper Valley Elec Assn, Inc",4329,"Copper Valley Elec Assn, Inc",4329,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,261,Valdez Cordova,62.110415,-145.532529
48,2018,AK,Goat Lake Hydro,7751,Alaska Power and Telephone Co,219,Alaska Power and Telephone Co,219,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,230,Skagway,59.5357,-135.2123
49,2018,AK,Gold Creek,63,Alaska Electric Light&Power Co,213,Alaska Electric Light&Power Co,213,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,110,Juneau,58.3107,-134.4174
50,2018,AK,Green Lake,313,City & Borough of Sitka - (AK),17271,City & Borough of Sitka - (AK),17271,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,220,Sitka,56.986284,-135.12275
51,2018,AK,Gwitchyaa Zhee,7174,Gwitchyaa Zhee Utility Co,7833,Gwitchyaa Zhee Utility Co,7833,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,290,Yukon Koyukuk,66.566287,-145.253052
52,2018,AK,Haines,69,Alaska Power and Telephone Co,219,Alaska Power and Telephone Co,219,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,100,Haines,59.235931,-135.446228
53,2018,AK,Healy,6288,Golden Valley Elec Assn Inc,7353,Golden Valley Elec Assn Inc,7353,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,068,Denali,63.8542,-148.95
54,2018,AK,Hiilangaay Hydro,59037,Alaska Power and Telephone Co,219,"Haida Energy, Inc.",60222,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,198,Prince of Wales-Hyder,55.216389,-132.603611
55,2018,AK,Hoonah,7463,"Inside Passage Elec Coop, Inc",18963,"Inside Passage Elec Coop, Inc",18963,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,105,Hoonah-Angoon,58.106432,-135.43074
56,2018,AK,Hooper Bay,6319,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,050,Bethel,61.530858,-166.101944
57,2018,AK,Humpback Creek,7042,"Cordova Electric Coop, Inc",40215,"Cordova Electric Coop, Inc",40215,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,261,Valdez Cordova,60.612822,-145.679411
58,2018,AK,Hydaburg,423,Alaska Power and Telephone Co,219,Alaska Power and Telephone Co,219,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,198,Prince of Wales-Hyder,55.204937,-132.821435
59,2018,AK,Industrial Plant,59793,Alaska Electric Light&Power Co,213,Alaska Electric Light&Power Co,213,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,110,Juneau,58.367635,-134.60802
60,2018,AK,International,6293,Chugach Electric Assn Inc,3522,Chugach Electric Assn Inc,3522,Electric Utility,Chugach Electric Assn Inc,CEA,ASCC,AKGD,ASCC Alaska Grid,,02,020,Anchorage,61.168972,-149.911038
61,2018,AK,Jarvis Street,6801,City & Borough of Sitka - (AK),17271,City & Borough of Sitka - (AK),17271,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,220,Sitka,57.0497,-135.3128
62,2018,AK,JBER Landfill Gas Power Plant,58380,Anchorage Municipal Light and Power,599,"Doyon Utilities, LLC",58368,Commercial Non-CHP,Anchorage Municipal Light & Power,AMPL,NA,AKGD,ASCC Alaska Grid,,02,020,Anchorage,61.286,-149.61
63,2018,AK,Kake,7464,"Inside Passage Elec Coop, Inc",18963,"Inside Passage Elec Coop, Inc",18963,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,195,Petersburg,56.962983,-133.922557
64,2018,AK,Kasidaya Creek Hydro,56542,Alaska Power and Telephone Co,219,Alaska Power and Telephone Co,219,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,230,Skagway,59.4072,-135.3408
65,2018,AK,Kasigluk,57066,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,050,Bethel,60.8731,-162.5197
66,2018,AK,Ketchikan,84,Ketchikan Public Utilities,10210,Ketchikan Public Utilities,10210,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,130,Ketchikan Gateway,55.344641,-131.633425
67,2018,AK,Kiana,6323,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,188,Northwest Arctic,66.973889,-160.428592
68,2018,AK,King Cove,7493,City of King Cove,9897,City of King Cove,9897,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,013,Aleutians East,55.061683,-162.3103
69,2018,AK,Kivalina,57065,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,188,Northwest Arctic,67.726644,-164.538447
70,2018,AK,Klawock,7466,,-9999,"Inside Passage Elec Coop, Inc",18963,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,198,Prince of Wales-Hyder,55.557778,-132.981389
71,2018,AK,Klawock Power Generation Station,61684,Alaska Power and Telephone Co,219,Alaska Power and Telephone Co,219,Electric Utility,Alaska Miscellaneous,NA,NA,AKMS,ASCC Miscellaneous,,02,198,Prince of Wales-Hyder,55.553197,-133.08535
72,2018,AK,Kodiak Microgrid,6281,Kodiak Electric Assn Inc,10433,Kodiak Electric Assn Inc,10433,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,150,Kodiak Island,57.789956,-152.396982
73,2018,AK,Kotlik,57064,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,270,Wade Hampton,63.03215,-163.553106
74,2018,AK,Kotzebue,6304,Kotzebue Electric Assn Inc,10451,Kotzebue Electric Assn Inc,10451,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,188,Northwest Arctic,66.837778,-162.556944
75,2018,AK,Koyuk,57059,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,180,Nome,64.932089,-161.167103
76,2018,AK,Lake Dorothy Hydroelectric Project,57085,Alaska Electric Light&Power Co,213,Alaska Electric Light&Power Co,213,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,110,Juneau,58.2325,-134.0533
77,2018,AK,Lemon Creek,64,Alaska Electric Light&Power Co,213,Alaska Electric Light&Power Co,213,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,110,Juneau,58.3536,-134.4953
78,2018,AK,Mahoney Lake Hydroelectric,59027,Ketchikan Public Utilities,10210,Ketchikan Electric Company,60223,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,130,Ketchikan Gateway,55.419444,-131.537778
79,2018,AK,Marshall,60244,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,NA,AKMS,ASCC Miscellaneous,,02,270,Wade Hampton,61.878186,-162.085147
80,2018,AK,McGrath,6555,McGrath Light & Power Co,12119,McGrath Light & Power Co,12119,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,290,Yukon Koyukuk,62.95699,-155.594997
81,2018,AK,Mountain Village,6329,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,050,Bethel,62.085569,-163.729072
82,2018,AK,Naknek,6301,"Naknek Electric Assn, Inc",13201,"Naknek Electric Assn, Inc",13201,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,060,Bristol Bay,58.730417,-157.007222
83,2018,AK,New Stuyahok,60245,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,NA,AKMS,ASCC Miscellaneous,,02,070,Dillingham,59.448358,-157.325528
84,2018,AK,Newhalen,7183,"I-N-N Electric Coop, Inc",9188,"I-N-N Electric Coop, Inc",9188,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,164,Lake and Peninsula,59.899054,-154.698735
85,2018,AK,Nikiski Co-Generation,55966,Alaska Electric & Energy Coop,49803,Homer Electric Assn Inc,19558,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,122,Kenai Peninsula,60.676539,-151.377713
86,2018,AK,Noatak,57051,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,188,Northwest Arctic,67.570931,-162.965728
87,2018,AK,Noorvik,6330,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,188,Northwest Arctic,66.834519,-161.038717
88,2018,AK,North Pole,6285,Golden Valley Elec Assn Inc,7353,Golden Valley Elec Assn Inc,7353,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,090,Fairbanks North Star,64.7356,-147.3481
89,2018,AK,Northway,7169,Alaska Power and Telephone Co,219,Alaska Power and Telephone Co,219,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,240,Southeast Fairbanks,62.9617,-141.9372
90,2018,AK,NSB Anaktuvuk Pass,7487,North Slope Borough Power & Light,26616,North Slope Borough Power & Light,26616,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,185,North Slope,68.13795,-151.741017
91,2018,AK,NSB Atqasuk Utility,7482,North Slope Borough Power & Light,26616,North Slope Borough Power & Light,26616,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,185,North Slope,70.4826,-157.4252
92,2018,AK,NSB Kaktovik Utility,7483,North Slope Borough Power & Light,26616,North Slope Borough Power & Light,26616,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,185,North Slope,70.125617,-143.619033
93,2018,AK,NSB Nuiqsut Utility,7484,North Slope Borough Power & Light,26616,North Slope Borough Power & Light,26616,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,185,North Slope,70.220565,-150.993492
94,2018,AK,NSB Point Hope Utility,7485,North Slope Borough Power & Light,26616,North Slope Borough Power & Light,26616,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,185,North Slope,68.348424,-166.737211
95,2018,AK,NSB Point Lay Utility,7486,North Slope Borough Power & Light,26616,North Slope Borough Power & Light,26616,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,185,North Slope,69.740833,-163.005833
96,2018,AK,NSB Wainwright Utility,7488,North Slope Borough Power & Light,26616,North Slope Borough Power & Light,26616,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,185,North Slope,70.642877,-160.020461
97,2018,AK,Nunapitchuk,6333,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,050,Bethel,60.89588,-162.459756
98,2018,AK,Nymans Plant Microgrid,7723,Kodiak Electric Assn Inc,10433,Kodiak Electric Assn Inc,10433,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,150,Kodiak Island,57.731608,-152.507044
99,2018,AK,Orca,789,"Cordova Electric Coop, Inc",40215,"Cordova Electric Coop, Inc",40215,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,261,Valdez Cordova,60.555889,-145.752983
100,2018,AK,Pelican,6702,Pelican Utility,29297,Pelican Utility,29297,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,105,Hoonah-Angoon,57.957197,-136.220095
101,2018,AK,Petersburg,91,Petersburg Borough - (AK),14856,Petersburg Borough - (AK),14856,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,195,Petersburg,56.81104,-132.957091
102,2018,AK,Pillar Mountain Wind Project Microgrid,57187,Kodiak Electric Assn Inc,10433,Kodiak Electric Assn Inc,10433,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,150,Kodiak Island,57.7869,-152.4406
103,2018,AK,Pilot Station,57058,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,270,Wade Hampton,61.936456,-162.880706
104,2018,AK,Port Lions Microgrid,6282,Kodiak Electric Assn Inc,10433,Kodiak Electric Assn Inc,10433,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,150,Kodiak Island,57.864775,-152.855441
105,2018,AK,Power Creek,7862,"Cordova Electric Coop, Inc",40215,"Cordova Electric Coop, Inc",40215,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,261,Valdez Cordova,60.588686,-145.604539
106,2018,AK,Purple Lake,6302,Metlakatla Power & Light,12385,Metlakatla Power & Light,12385,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,198,Prince of Wales-Hyder,55.091263,-131.544978
107,2018,AK,Quinhagak,57057,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,050,Bethel,59.747436,-161.910647
108,2018,AK,S W Bailey,85,Ketchikan Public Utilities,10210,Ketchikan Public Utilities,10210,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,130,Ketchikan Gateway,55.357397,-131.69696
109,2018,AK,Salmon Creek 1,65,Alaska Electric Light&Power Co,213,Alaska Electric Light&Power Co,213,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,110,Juneau,58.3269,-134.4631
110,2018,AK,Savoonga,57052,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,180,Nome,63.695267,-170.475661
111,2018,AK,Scammon Bay,57056,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,270,Wade Hampton,61.843036,-165.581497
112,2018,AK,Selawik,6341,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,188,Northwest Arctic,66.606778,-160.014808
