,Albany,Goshen,Harrisburg,Jasper,Jefferson,Mehama,Monroe,Salem,Vida,Waterloo,BLU5A,CGR5A,DET5A,DOR5A,FAL5A,FOS_loc,FRN5M,GPR5A,GPR5H,HCR5A,HCR5H,LOP_loc,LOP5E,DEX_loc,BCL_loc,COT5A
0,169.00162546583005,29.58205329589205,113.25666726470126,17.274012967021775,154.31575741567107,101.18723822154138,25.93605980416025,84.40566313107891,106.71753704131561,-12.347128438692494,591.3350283711101,1004.2333157177943,3715.61798802388,1418.0045726773828,1244.5573525744737,2108.365939728699,1421.7825105054176,3643.4535514935365,1870.8564170369152,1374.6499190721083,1852.5187736653697,2689.2064011382304,0.0,0.0,0.0,457.80304893423283
1,258.12065100689557,25.81338075271676,129.94092500733493,19.673181434663682,102.62807434262547,67.83126809983858,17.290706536106832,184.88859542998236,115.0263016591099,-19.574715817439316,761.8013150513813,1065.0657211386338,3057.9612181149405,1731.3057107018876,1497.175185111142,2353.3896341482496,1224.4245982822858,3629.4006321640427,2912.6627400318453,1788.9838961643695,1471.1178496754408,3513.366144777267,0.0,0.0,0.0,439.33704359907046
2,200.705032310971,22.61203525905173,138.38119657125543,23.511850982890746,119.56668855451512,70.153873401937,14.408922113422364,122.58917740466222,124.3368322237305,-21.682762136240473,1087.3245065651195,1324.351383588114,3228.3238256600926,1796.5013232387787,1597.6371030697399,2511.2507495252717,981.1507636235685,3639.7061063390047,3527.957749585897,2115.552548059748,1928.7989584633556,4102.90381423197,0.0,0.0,0.0,406.2521173735713
3,146.53464423699003,18.073418862969664,116.00466265760564,19.1933477411353,111.96922188594696,112.01673523253045,13.585555135512513,92.44429771499118,144.9614252466242,-24.513567192916312,1601.6126257022088,1972.5655397118144,4747.311097403462,2025.5914617364656,1610.3167626179122,3308.304111214164,869.180356280649,5580.882696386474,3683.779213044391,2639.082918129526,2048.667820288762,5144.784889423417,0.0,0.0,0.0,379.3225262597929
4,156.2703361028207,20.48455882338826,124.05236345111129,18.66553067825408,137.25259456987047,193.1680048239215,10.436176445007339,28.13522104369297,161.75573670812335,-36.37885647302568,2412.531345390278,2613.798928000336,8027.980975661227,1925.081559075425,1646.4050244088648,5064.145842370863,791.8482763891361,8717.494290729584,4006.409550846272,2843.188325564138,2212.125359141589,5541.455260607948,0.0,0.0,0.0,345.4681831453286
5,140.0441829931029,17.627661895497315,121.50065344341436,10.556341257624416,204.88250278351808,292.34045290388354,8.810026663635387,50.24146614945173,205.06738205620007,-32.88552257329805,2990.383164645435,3599.0844453083605,12223.279154761962,1954.9628814881669,1832.6984839243225,6025.839631140086,703.2386015134445,11855.042746361329,1006.8463792702673,3140.161693381497,2419.171575021836,6119.062994087176,0.0,0.0,0.0,327.0021778101663
6,196.21163606520298,28.852632803664576,196.08909982224708,26.87068683758942,228.17309732486635,263.12599585098275,14.408922113422364,60.28975937934207,241.0131013246719,-30.958165938965564,3547.0470838612355,3779.587156475114,13088.416642239858,1990.2771716123161,2099.9466928627285,5298.516332685214,1495.8924204014504,14427.663844947405,787.0981615723915,3374.8829119313004,2669.806467929504,6574.388883817789,0.0,0.0,0.0,462.41955026802344
7,220.925315416927,36.51154797205306,263.61127233361145,21.11268251524883,149.58290932705484,96.9897587599177,15.643972580287137,172.83064355411392,176.1929518241489,-28.00690109264394,1596.7971938750825,2651.694524819876,7384.600401915289,1623.5518510923037,1671.7643435052096,4786.194062535246,1366.2000780833928,4540.966666003901,3019.5402822758115,2746.238257032697,2822.366837525475,5352.564607662934,0.0,0.0,0.0,429.3346240425242
8,205.4480616815039,35.964482602882455,204.13680061575278,22.072349902305596,176.23631698399888,98.78068333021048,22.642591892520855,96.46361500694732,148.20243272165033,-41.13701816403401,1202.8948704161508,1979.5463075469927,5383.077699862465,1458.75183051294,1400.614700859674,2854.0902270925476,1787.4988049923634,4571.883088528788,6536.5106209768155,2303.3295228995903,2789.67532975491,4498.58002408521,0.0,0.0,0.0,493.19622582662726
9,338.252884056425,59.792218682313305,234.75732070811566,29.749688998759716,197.28503611494995,106.61597832524133,48.78449344115857,158.7630330322675,144.37215116025578,-36.55954615749435,973.6803154449386,1688.348563565269,4700.67552327099,1728.589226846184,1537.1648806092244,2971.275472249724,3641.8576373909304,4254.287111682219,5946.186999797522,2109.4293858367096,2691.600806443214,4121.792879526471,0.0,0.0,0.0,747.8732160740744
