,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf,ORO_otf,SHA_otf,FOL_otf,YRS_otf,MHB_otf,PAR_otf,NHG_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,PFT_otf,KWH_otf,SUC_otf,ISB_otf
0,268942.39912276197,418912.7943921131,101587.01590481034,2842.247818001852,19822.14434523645,293.5000634921682,12730.032786828722,26620.2009034121,46621.48664837296,27362.670083909285,0.0,7746.448121567994,1495.565685238169,680.4840160188376,1266.5441693528714,136399.80315154797,146555.569670643,61115.5047087385,8168.403819864974,203.11244663690454,8346.801428100036,72.80154930420782,570.2193356001889,761.6149559877123,388.7681356086348,647.6854814779879,380.7941398446789,772.4642075880143,379.1664060909147,631.7681076649172
1,178814.24928269428,232642.00213895965,168119.35730725655,2839.0801062146434,0.0,273.42315577296,22935.128660540955,55789.257222111824,75358.00643594767,46351.427593288565,24688.6255138779,33199.91386301583,13702.169393487851,3803.5488858224526,5051.406218829206,91154.99039883939,81272.84147126468,101762.61145260185,8168.403819864974,200.7583609649995,16403.09448731034,66.47086645134837,645.2474106447687,634.9742701874794,355.42815295068783,661.8895010429185,352.70309902022217,7076.794181636117,2119.3994154686593,2519.6931051893966
2,98059.42702599366,137541.72423756061,72970.9550865539,3880.74161019438,18799.16599750189,284.0287925259249,8397.074128557288,23238.51178471492,3782.8397160557383,17699.46244666864,35332.52686077725,28734.868309816917,12862.40667544699,5617.821869525478,11602.965455018131,49928.98160240078,48020.28333381499,43924.308508307724,8168.403819864974,329.10440170722075,9303.997517169078,136.8939560481744,803.297010987137,929.6064862203301,439.9715412221366,644.0342914957803,463.4503875798942,6643.260844382734,3130.3589858731602,5787.674274916861
3,68855.74340221555,110819.3320999774,38613.797066634776,18211.396067809805,9336.062321563093,790.7076215757572,4341.099202640464,10231.199720008204,29989.181385786294,8144.677027580018,3189.1736468527324,11028.391907579895,4388.929959215322,1961.2789457629406,5394.388953393177,35002.18558336748,38666.10800707143,23240.50063597815,8168.403819864974,2522.741398810041,4904.631535255387,1992.5357190557936,1615.6164798160494,2660.4334726530906,2650.525162084674,825.436096221569,1356.6211993408774,2266.879123061443,1092.831918567255,2690.7629928869956
4,40358.66447318359,84882.89267232311,25910.41226789029,24932.101796810606,6465.961770207883,1503.8546908666224,3270.8570458887016,7178.80125413087,17949.748304927394,5430.218373925954,7268.7293567207635,7527.796193871952,3093.4297379467703,1570.5502633207066,3486.417231435004,20515.86112377966,29794.992937901505,15594.934506915153,8168.403819864974,4210.024242210762,3410.9289706913196,3097.9937365056926,2615.990813743779,6696.163508947834,2982.1261931690055,2279.8564569390855,1960.561315058817,1597.7468998165145,875.1059616651756,1739.0746257456583
5,29595.200306683346,68898.18645778879,17746.965517962184,19470.377333935245,4875.433557925132,861.5713156016893,2574.6010745611575,5320.197352138446,12950.339509532025,4091.668646397684,4729.41650274547,5511.760474397293,2307.845259779512,1150.7714474803636,2576.9466329009774,15044.56560516903,24096.51939093125,10681.360238601566,8168.403819864974,2163.582095099868,2507.647627688952,852.2480833845337,1596.602209157763,6701.356841273088,1335.951577349979,1696.333960392335,1128.3599151323158,1191.9714662832005,641.2179506982549,1285.4295732167773
6,24998.664664839893,57005.15005114441,13745.724814049476,15977.054242088063,3934.2934780093337,1111.4734651222618,2259.308898116998,4293.367062922754,8541.896133029086,3532.333911839701,5120.2039136266985,4634.500797163341,1929.9274101884546,969.6249963211604,2130.887845347174,12707.804099470317,19936.469952403113,8273.226031818098,8168.403819864974,1515.9666772089997,2078.0044302400615,687.6503292101878,1872.7192454229973,6202.626664857784,4352.04733160023,1754.7530001076605,4152.606155797251,996.8324222864567,540.2743787389876,1062.9082559971646
7,22715.898885690658,40942.63451832711,11694.668654900948,56662.26042440269,3353.4485880032244,5252.660274828638,2029.9370891308265,3912.131969094706,5062.934272750586,3080.863795454675,4340.239725369629,4135.2275216692815,1676.471753470667,837.8023366113141,1852.8770052831678,11547.407725342026,14319.052279161315,7038.927262104312,17042.887689031104,5475.264671487407,1798.5753162170795,4055.4606366128382,9688.330143651603,16520.756355990023,16423.002870602693,5995.075843956847,7043.474615570973,865.8896609214642,466.8524759872791,924.2503227131954
8,20356.704435477048,42208.80433402259,6236.441214426715,102398.12521441538,2912.1276040527537,5252.660274828638,1765.1299693618225,3425.1528346428195,6436.895819918281,2778.025051267765,4351.275547536173,3799.9973137115353,1501.6730504602845,764.0799436976849,1670.0132910559307,10347.754822501825,14761.993972970355,3753.5547770323574,17042.887689031104,11894.582192906604,1665.4310149986607,5070.803099932124,11973.770911010348,19543.105496096417,13499.268346583529,7912.841118757958,10913.616782414398,775.6029104821566,425.75006363552075,833.0076133072788
9,18756.028494317445,36224.56040062382,9095.614931082808,93557.99929662413,2604.2000421967687,5252.660274828638,1608.1337565305478,3014.4339700894525,4583.749896738143,2439.2520862076135,4529.2803764278815,3498.863817250945,1389.4255880312448,681.6249578139294,1531.5968770410127,9534.678922739915,12669.278687617485,5474.53137903625,17042.887689031104,10847.336546398154,1665.4310149986607,10112.581518013114,8736.125295391534,13025.89911088108,11958.53082055639,4042.357104082163,3834.007030346582,717.6349914059688,379.81288825350833,763.9844198201399
