,Site1,Site2,Site3,Site4,Site5,Site6,Site7
0,927.4212876408956,1554.7835636746618,1836.590970463605,3362.351464771235,3511.7900780039804,3259.19659675488,2908.49752658165
1,1174.4167956325887,63.6623397843905,1154.1211608519516,2318.5458690820724,1358.3263724183098,3243.155571699064,3267.334466792795
2,0.0,0.0,775.8665705265553,3172.813752081751,1121.2054486103825,3513.1555993488473,3100.942889006513
3,0.0,0.0,1215.9632085979365,1459.6780095531253,1068.245508272848,3127.1439564388393,2466.5461823048317
4,2318.4669579349866,2974.851610522261,2527.698429055746,3211.212920718164,3309.678752758101,1847.64990896071,1866.6104703728415
5,2129.0579868410505,3016.479616566159,3308.0,3641.0,2647.0468120282776,3596.5729790644214,3365.7110748048262
6,2669.1315566675794,2957.5,2932.6905444751587,3514.7690322992207,2942.7138752888686,3315.889431783751,3306.5793918934364
7,2150.412615055383,1576.376441402127,2241.59571984425,3427.2088510008443,1943.9002776628174,3671.3397578954346,3836.0
8,2446.6120779278363,2848.3707992891696,2865.263374103072,3101.7001580033066,3034.2021791712227,3525.418767421356,3317.6581453608087
9,1623.8935186947806,2324.8969549186563,2676.9757602272907,2615.8636803684876,2542.6229061988615,1880.3950199262176,1586.9174030557597
10,93.21175931650305,1929.5487356090016,2981.439140141802,3387.2257362690148,2748.6863313126973,3164.640332989815,3140.058842367498
11,2547.547027351134,2402.1685300376244,2932.235877014393,2574.9441433572183,3256.8888197189954,3527.7507499191242,3955.304422033357
12,2618.9037615878588,2905.0959584510892,3127.438174632405,2649.7753300867935,3181.0582148832937,2266.5619838032508,898.4058467857117
13,0.0,486.9459284245677,1733.657444175782,1686.2153888821713,3087.784865021398,1214.4355463642214,810.7499149652394
14,1080.4803642638208,1722.4392614883507,1161.1492355395799,3469.2264375876307,3206.6451208382555,3583.6464029834087,3509.295401261514
15,2101.807406930424,3324.0,3590.0,3544.2020442262397,2925.7315757708793,3563.935857288485,3262.303237389451
16,2220.8719267391484,841.861767194393,1107.3196969240735,3050.3602546952548,1573.2853221494506,2836.74201095548,3128.235388263325
17,0.0,1672.3874123937392,2003.549729748376,3474.821210870095,2107.088112592033,3935.6369882127656,4079.0
18,1191.4364000252608,141.57959849202052,1846.695810137805,3363.538211644187,2990.743758556266,4129.0,3966.4126809695354
19,2234.625441701865,1791.7863169312911,2796.9873768480784,3611.316075934664,4083.7014610243077,3640.0400582968177,3617.0842950195834
20,943.7111890322735,603.0598848076916,2144.9102033492,3632.4817066597557,3363.051462705831,3428.6025361047273,3280.3622927983747
21,1506.9030821557444,0.0,2276.272930537528,3603.0399815028104,3560.1500999722357,4221.5,3909.411600459537
22,2352.02072162672,2805.3958972934965,2501.795605396443,4130.5,2734.0991262373946,4168.828344266243,4170.189389511787
23,3485.0,3441.5,2827.9148913055824,3561.9756179590413,2531.7597287208946,3048.0558205514185,1682.3683986947945
24,2650.651453547667,2513.298527579592,3467.5674484201354,3969.0453110988096,3773.1446212461515,4213.79773485973,4330.0
25,2952.3378154563593,3361.595795002362,3771.2118218493306,4195.0,3633.952356938048,4391.0,4239.535279919772
26,3561.140919609546,3641.5,3837.0,4255.835748255706,3709.8853666336877,3924.911511186483,4064.3120454831187
27,3609.5,3626.0,3999.5,3640.6633708530762,2353.561222325845,3658.443531978939,3885.8662223791807
28,3716.5,3386.527245924508,3704.2035428683166,3997.436590289868,1718.5708883244624,4105.181595238766,3807.5024764207974
29,3598.725863055589,2512.039734903522,3232.9261437142295,3804.3458909877263,3252.3679574488915,3579.4332312328174,1411.7589453903602
30,2517.2590703726537,0.0,1425.5471957311202,1674.2682050001326,111.76249148911666,1913.057722702758,1742.7597627866207
31,2600.1618358668497,3544.067846628707,3704.4931365475736,4235.154150702273,3159.031355457532,4455.6609319816935,4205.177847425182
32,3211.315098316425,3465.331864607506,3836.4165407144137,4329.506716441989,4440.55147913684,3975.961303770964,3864.5212279496395
33,3591.572184620204,3522.879159512127,3945.0827768387085,3953.13290403206,3938.3114657887545,4637.424412322064,4235.086814963028
34,2303.4837465646233,3551.2320079881665,4291.0,4638.0,4647.5,4710.0,4581.20563625385
35,3027.4416002922826,2451.253688219231,3769.621836710574,4378.8231491442875,3300.5407104944193,4697.642211241009,4233.186202227623
36,2773.6357299391752,2418.0045194218724,3531.757388809383,4449.928793810171,3687.5782033011246,4633.0926539358325,4307.938640086413
37,2029.930023889949,1575.8238997280037,1395.6602241403934,2492.206552255981,1829.0404577181598,3423.2422568799093,3378.5057177741946
38,2762.3732285255655,3110.7022724975495,3136.294084880291,4717.707473517258,3097.6789768259055,3934.807488352725,3803.061315688363
39,3583.8307677923003,3399.481411775446,3483.259249142366,4663.188024156658,4257.0301987757375,4917.095734429257,4598.2517388881515
40,2860.3173989930892,2440.600223999001,2663.28176889128,3995.939585671761,2757.240538012348,4820.856254777863,4639.271854983282
41,3195.627106274932,2726.741846974199,3627.088958750115,4343.537087756844,3311.896935594165,4772.596905481265,4214.233268784217
42,3428.0514962544357,3024.6512638181225,2610.255627238669,4224.763972618057,3705.6094145663687,5017.63913682025,5034.733007712453
43,3160.0976593181113,3267.695044581466,2680.8645281917247,4992.5,3661.959018625696,5171.5,5169.0
44,2737.3880789156474,4290.600355961662,3385.7130828163426,4993.0,4686.803531888369,4735.097611232454,4459.55714895427
45,1806.986368755629,0.0,1616.272160001523,5097.0,3875.6354192753865,5206.5,5179.0
46,2383.7833233663564,3823.6149575812283,2381.151897877167,4579.9898795535455,3227.9305938482375,4720.719577788092,4384.11311352748
47,0.0,2600.911929217479,3605.9010473778953,4856.461296691459,2365.2533937890507,5043.85934489511,5016.765119634603
48,2668.4564602316023,2626.943102717953,2881.983789813679,4525.996040556968,2867.866125950335,4537.593302556168,3235.567490816101
49,4528.146830028678,4626.0,4596.333504801297,4863.083790310989,3202.778759280915,4647.52778496514,4716.421104655361
50,4379.178844468496,4493.044312204976,4218.831400295801,4614.8053425834705,3780.8944531108345,4792.955774810984,4573.032164071688
51,3934.0393056089533,4060.5944099842254,4354.8346224256775,4879.035050969647,4379.280846903423,4484.2997490494845,2363.5595555602886
52,4533.923855432494,4452.193675437946,4623.873712811158,5206.5858508956735,5109.831396998965,5501.5,5467.5
53,4023.947947499709,4166.259790826669,4162.569489688389,5268.625115776668,4471.555811408212,5692.5,5622.0
54,3740.191253244816,4355.109014506308,4530.23186664334,4792.665353757029,5219.230047648473,4136.08887094632,4040.273187529324
55,3638.141187274045,4420.469805723331,2406.659485795289,4957.037373677675,2852.8605476531293,5093.023732270636,5392.0357579349575
56,4412.536226722641,4253.347808463346,4658.819612644288,5237.513671163313,4337.50055278165,4779.614811386551,5210.227765205942
57,3351.674905146396,4707.41177001256,4557.201869888802,5516.211259201129,3756.80572250695,5100.143530387253,5638.166189318842
58,4630.164468857539,3319.8369558783616,4499.8164829507505,5388.229063325746,4759.427942001352,5233.080773425332,4277.455011975011
59,4594.287935776718,4599.903659802444,3265.2585886462393,5247.949604210982,4453.294341632925,4866.5734476457255,4283.8329357392395
60,3982.4783586143053,3495.864411175444,4107.3779036599335,5419.586132411744,3755.633878090611,4874.667406555118,3851.9728141657883
61,4189.939419676677,1801.0588526896327,3157.0155584752565,4093.1922913765748,4005.9249715987316,4921.824703254442,5198.480784411849
62,2991.1976725676222,2455.279931336114,3874.350078269619,5682.384727777827,4952.358451782211,6207.9406091901965,6179.5
63,2336.5979647314425,3855.95119940241,3273.9177513466434,2219.884361375868,2804.497103978889,1895.7522091309966,3963.5611994582637
64,2627.5182787178555,3995.2664166619656,4226.707691201919,3435.9376933106437,1656.104344112695,3495.051866566103,4063.3384241795343
65,3543.1567079544134,4300.259379036668,3982.8586062773907,5237.157294907102,4900.432212276132,5436.713555189882,5398.753519083784
66,4043.140239245671,4245.738829277584,4938.6868698015205,5579.637881999961,4927.07703366264,5265.337054919971,5579.382194557567
67,2388.671320559664,1921.1924690265778,3711.788601033819,5780.936691428989,4682.808267887839,5656.681167145493,5393.06690804254
68,5022.608687945786,4957.866595362305,3220.3673418570047,4709.904178902296,2636.532161135684,4353.6112931013995,4722.145448183239
69,4209.675175099664,4563.10615884993,5325.44587039479,5742.8978782828735,3928.1764646600204,5696.723471215886,5622.588606863596
70,4862.07100254648,4690.94738701388,5357.419606072825,5890.816347495236,3756.1180398006877,5840.692552172818,5798.963309566256
71,4770.696794640349,5279.27028728489,3206.1358752021038,5238.726913875385,4388.189155808978,6337.214540888935,6272.769020299059
72,1517.4587601563417,3812.0518948550466,4698.744052892443,5676.363742638829,4966.924392316998,5917.892461680721,6084.426011621332
73,2331.286068403203,5356.758741056356,5396.661333088231,5233.117651389903,4537.749847138881,4904.091054494744,4719.558884959302
74,6251.5,6001.0,5696.230380347533,3967.2117144800495,5536.705165164161,3978.1362060261026,3465.208679699924
75,6255.5,6025.5,6043.12684956141,6399.842691661809,5521.915612830571,5681.489652605877,5511.176230047046
76,6140.700033814673,5917.452986132923,6256.601538765599,6071.35480240097,5184.057719304617,6396.045359081047,6218.219860304485
